遭遇频次,队伍1,队伍2,队伍3
6,跳跳虎 奶牛 水emt 水多娜 蚊子,水电 梦狐 老师 水老师 瓜眼,春剑 黑姐 静流 路人妹 els
5,布丁 跳跳虎 史莱姆 els 蚊子,黑姐 雷姆 妹弓 黑猫 水多娜,黄骑 路人妹 魔驴 菲欧 花凛
2,跳跳虎 水星 水emt 礼千 蚊子,布丁 水m 黄骑 拉姆 魔驴,春剑 路人妹 雷姆 涅妃 els
1,布丁 水m 跳跳虎 路人妹 菲欧,黑m 水星 妹弓 水多娜 瓜眼,春剑 黄骑 魔驴 爱梅斯 蚊子
1,布丁 水m 跳跳虎 路人妹 菲欧,春剑 黄骑 魔驴 els 蚊子,羊驼 水星 水emt 爱梅斯 礼千
1,羊驼 水星 els 雪哥 瓜眼,偶像 黄骑 路人妹 舞铃 菲欧,水蕾姆 水电 魔栞 水emt 蚊子
1,跳跳虎 黄骑 爱梅斯 els 蚊子,布丁 黑姐 裁缝 路人妹 菲欧,水星 水电 魔驴 水多娜 雪哥
1,春剑 跳跳虎 黄骑 水千 蚊子,驴 魔驴 爱梅斯 水多娜 els,子龙 水电 水emt 黑猫 猫咖
1,布丁 跳跳虎 猪妹 爱梅斯 els,黑姐 圣吃 黄骑 路人妹 妹弓,水星 水电 春龙妈 黑猫 瓜眼
1,跳跳虎 妹弓 魔驴 黑猫 蚊子,奶牛 江月 水电 梦狐 老师,春剑 黄骑 路人妹 花凛 els
